MedID,Nome Comercial,Subs,FF,Dosage,TAIM,NewFilename,timestamp,filenameclean
40350,Aceclofenac Mylan MG,Aceclofenac,Comprimido revestido por película,100 mg,"Mylan, Lda.",Aceclofenac_Mylan_MG100_mg,20240307224529,Aceclofenac_Mylan_MGComprimido_revestido_por_película100_mg
601908,Ácido alendrónico + Colecalciferol Mylan MG,Ácido alendrónico + Colecalciferol,Comprimido,70 mg + 2800 U.I.,"Mylan, Lda.",Ácido_alendrónico_+_Colecalciferol_Mylan_MG70_mg_+_2800_U.I.,20240307224546,Ácido_alendrónico_+_Colecalciferol_Mylan_MGComprimido70_mg_+_2800_U_I_
37547,Depakine Chronosphere,Ácido valpróico,Granulado de libertação modificada,1000 mg,"Sanofi - Produtos Farmacêuticos, Lda.",Depakine_Chronosphere1000_mg,20240307224600,Depakine_ChronosphereGranulado_de_libertação_modificada1000_mg
635282,Hyrimoz MB,Adalimumab,Solução injetável em caneta pré-cheia,40 mg/0.8 ml,Sandoz GmbH,Hyrimoz_MB40_mg_0.8_ml,20240307224625,Hyrimoz_MBSolução_injetável_em_caneta_pré_cheia40_mg_0_8_ml
641603,Idacio MB,Adalimumab,Solução injetável,40 mg/0.8 ml,Fresenius Kabi Deutschland GmbH,Idacio_MB40_mg_0.8_ml,20240307224638,Idacio_MBSolução_injetável40_mg_0_8_ml
3796,Gastrografina,Amidotrizoato de meglumina + Amidotrizoato de sódio,Solução gastroentérica,660 mg/ml + 100 mg/ml,"Bayer Portugal, Lda.",Gastrografina660_mg_ml_+_100_mg_ml,20240307224749,GastrografinaSolução_gastroentérica660_mg_ml_+_100_mg_ml
642763,Amlodipina + Olmesartan medoxomilo + Hidroclorotiazida Krka MG,Amlodipina + Olmesartan medoxomilo + Hidroclorotiazida,Comprimido revestido por película,5 mg + 20 mg + 12.5 mg,"KRKA d.d., Novo mesto",Amlodipina_+_Olmesartan_medoxomilo_+_Hidroclorotiazida_Krka_MG5_mg_+_20_mg_+_12.5_mg,20240307224801,Amlodipina_+_Olmesartan_medoxomilo_+_Hidroclorotiazida_Krka_MGComprimido_revestido_por_película5_mg_+_20_mg_+_12_5_mg
624482,Aripiprazol Aurovitas MG,Aripiprazol,Solução oral,1 mg/ml,"Generis Farmacêutica, S.A.",Aripiprazol_Aurovitas_MG1_mg_ml,20240307224851,Aripiprazol_Aurovitas_MGSolução_oral1_mg_ml
619409,Atomoxetina ratiopharm MG,Atomoxetina,Cápsula,60 mg,"Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.",Atomoxetina_ratiopharm_MG60_mg,20240307224945,Atomoxetina_ratiopharm_MGCápsula60_mg
576282,Atorvastatina Aurobindo MG,Atorvastatina,Comprimido revestido por película,40 mg,"Generis Farmacêutica, S.A.",Atorvastatina_Aurobindo_MG40_mg,20240307224946,Atorvastatina_Aurobindo_MGComprimido_revestido_por_película40_mg
49602,Atorvastatina Krka MG,Atorvastatina,Comprimido revestido por película,20 mg,"KRKA d.d., Novo mesto",Atorvastatina_Krka_MG20_mg,20240307224947,Atorvastatina_Krka_MGComprimido_revestido_por_película20_mg
