Producto,Pergunta,Resposta,Link,Prompt,Validado por
RInvoq 15mg,Quais são as principais indicações terapêuticas do RINVOQ?,"O RINVOQ é indicado para tratar:
Artrite reumatóide ativa moderada a grave em adultos.
Artrite psoriática ativa em adultos.
Espondilartrite axial, incluindo formas não-radiográficas e espondilite anquilosante ativa.
Dermatite atópica moderada a grave em adultos e adolescentes com idade ≥ 12 anos.
Colite ulcerosa ativa moderada a grave.
Doença de Crohn ativa moderada a grave​(RinvoqComprimido_de_lib…).",https://chatgpt.com/share/673b44fd-925c-800a-9819-f25a04be20b4,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
RInvoq 15mg,Qual é a posologia recomendada para o tratamento da artrite reumatóide com RINVOQ?,"A dose recomendada depende da indicação terapêutica é de 15 mg uma vez por dia. A descontinuação deve ser considerada em casos sem resposta clínica após 16 semanas​(RinvoqComprimido_de_lib…).
",https://chatgpt.com/share/673b44fd-925c-800a-9819-f25a04be20b4,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
RInvoq 15mg,Quais são as contraindicações do uso de RINVOQ?,"O uso é contraindicado em pacientes com:
Hipersensibilidade ao princípio ativo ou excipientes.
Tuberculose ativa ou outras infecções graves.
Compromisso hepático grave.
Gravidez​(RinvoqComprimido_de_lib…).
",https://chatgpt.com/share/673b44fd-925c-800a-9819-f25a04be20b4,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
RInvoq 15mg,Quais são as reações adversas mais comuns associadas ao RINVOQ?,"Reações adversas frequentes incluem:
Infecções do trato respiratório superior.
Aumento da creatina fosfocinase (CPK).
Acne, herpes simples, e neutropenia.
Náuseas e aumento de enzimas hepáticas (ALT e AST)​(RinvoqComprimido_de_lib…)",https://chatgpt.com/share/673b44fd-925c-800a-9819-f25a04be20b4,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
RInvoq 15mg,Quais cuidados devem ser tomados com pacientes acima de 65 anos ao usar RINVOQ?,"Esses pacientes têm maior risco de eventos adversos, incluindo MACE (eventos cardiovasculares major maiores), infecções graves e neoplasias malignas. Deve-se usar a dose mínima eficaz (15 mg por dia) e apenas se alternativas não forem adequadas​(RinvoqComprimido_de_lib…).
",https://chatgpt.com/share/673b44fd-925c-800a-9819-f25a04be20b4,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Ozempic 0.5mg,"1. Qual é a indicação principal do Ozempic?
","O Ozempic é indicado para o tratamento de adultos com diabetes mellitus tipo 2 insuficientemente controlada, como adjuvante à dieta e ao exercício. Pode ser usado em monoterapia, quando a metformina é inapropriada devido a intolerância ou contraindicações, ou em combinação com outros medicamentos para diabetes​(OzempicSolução_injeta…).

",https://chatgpt.com/share/673b45ca-00bc-800a-9444-d8229ddad1a7,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Ozempic 0.5mg,"2. Como deve ser administrado o Ozempic?
","O Ozempic deve ser administrado por via subcutânea no abdómen, coxa ou braço, uma vez por semana, a qualquer hora do dia, com ou sem alimentos. É importante evitar a administração intravenosa ou intramuscular​(OzempicSolução_injeta…).

",https://chatgpt.com/share/673b45ca-00bc-800a-9444-d8229ddad1a7,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Ozempic 0.5mg,"3. Quais são as reações adversas mais comuns associadas ao uso do Ozempic?
","As reações adversas mais frequentes são náuseas, diarreia e vómitos. Estas reações geralmente são leves a moderadas e de curta duração, mas podem levar à interrupção do tratamento em alguns casos​(OzempicSolução_injeta…).

",https://chatgpt.com/share/673b45ca-00bc-800a-9444-d8229ddad1a7,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Ozempic 0.5mg,"4. O Ozempic pode ser usado em pacientes com comprometimento renal ou hepático?
","Sim, o Ozempic pode ser utilizado em pacientes com comprometimento renal ou hepático leve a moderado sem necessidade de ajuste de dose. No entanto, a experiência é limitada em casos graves, sendo necessário cuidado adicional nesses casos​(OzempicSolução_injeta…).

",https://chatgpt.com/share/673b45ca-00bc-800a-9444-d8229ddad1a7,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
Ozempic 0.5mg,5. O que fazer em caso de omissão de uma dose?,"Se uma dose for omitida, ela deve ser administrada o mais rapidamente possível dentro de um prazo de 5 dias. Caso tenham passado mais de 5 dias, a dose omitida deve ser ignorada e o paciente deve retomar a posologia normal no dia previamente estabelecido​(OzempicSolução_injeta…).

",https://chatgpt.com/share/673b45ca-00bc-800a-9444-d8229ddad1a7,"relativamente a este documento, sugere-me as 5 perguntas mais pertinentes e responde às mesmas ",Inês
